UserID;ConditionID;GroupID;Timestamp;Iteration;Phase;IsPareto;Trust;Usability;CubeColorR;CubeColorG;CubeColorB;CubeTransparency;CubeVisibility;CylinderColorR;CylinderColorG;CylinderColorB;CylinderTransparency;CylinderVisibility
-1;-1;-1;2026-07-23 19:30:40;1;sampling;FALSE;5.0;5.0;0.068;0.225;0.699;0.063;0.375;0.03;0.147;0.339;0.27;0.273
-1;-1;-1;2026-07-23 19:30:49;2;sampling;FALSE;5.0;5.0;0.69;0.389;0.786;0.644;0.202;0.634;0.055;0.005;0.725;0.248
-1;-1;-1;2026-07-23 19:30:58;3;sampling;FALSE;5.0;5.0;0.969;0.079;0.548;0.525;0.669;0.827;0.318;0.099;0.443;0.644
-1;-1;-1;2026-07-23 19:31:07;4;sampling;FALSE;5.0;5.0;0.343;0.358;0.485;0.925;0.293;0.799;0.952;0.769;0.864;0.055
