Hypervolume;Iteration;Scale;ReferencePoint
1.567423525925926;1;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
1.5687201324444444;2;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
1.5687201324444444;3;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
1.5687201324444444;4;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
1.5687201324444444;5;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
1.5687201324444444;6;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
2.745168976888889;7;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
2.745168976888889;8;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
