UserID;ConditionID;GroupID;Timestamp;Iteration;Phase;IsPareto;WalkTime;Aesthetics;R;G;B;Opacity;Size;Height
usman;Vol7;-1;2026-09-16 05:27:58;1;sampling;FALSE;7.219;5.0;0.431;0.814;0.806;0.053;0.298;0.84
usman;Vol7;-1;2026-09-16 05:28:09;2;sampling;FALSE;7.2;8.0;0.912;0.173;0.252;0.693;0.888;0.37
usman;Vol7;-1;2026-09-16 05:28:20;3;sampling;FALSE;7.218;9.0;0.514;0.529;0.696;0.395;0.658;0.02
usman;Vol7;-1;2026-09-16 05:28:31;4;sampling;FALSE;8.076;6.0;0.018;0.482;0.238;0.852;0.029;0.549
