Hypervolume;Iteration;Scale;ReferencePoint
1.5638676959999998;1;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
2.737790199407408;2;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
3.1287688394814817;3;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
3.1287688394814817;4;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
