Hypervolume;Iteration;Scale;ReferencePoint
1.9559412962962963;1;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
2.3465133426666664;2;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
2.3465133426666664;3;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
2.3465133426666664;4;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
2.3465133426666664;5;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
