Hypervolume;Iteration;Scale;ReferencePoint
1.9550595459259261;1;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
2.7409426074074075;2;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
2.7409426074074075;3;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
3.130341136296296;4;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
3.130341136296296;5;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
3.130341136296296;6;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
3.130341136296296;7;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
3.130341136296296;8;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
3.130341136296296;9;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
3.522017674074074;10;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
3.522017674074074;11;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
3.522017674074074;12;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
3.522017674074074;13;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
3.522017674074074;14;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
3.522017674074074;15;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
3.522017674074074;16;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
3.522017674074074;17;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
3.522017674074074;18;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
3.522017674074074;19;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
