Hypervolume;Iteration;Scale;ReferencePoint
1.955065814814815;1;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
2.7430777406666667;2;normalized maximize-space [-1,1] per objective;[-1.0,-1.0]
